,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court,Consolidated with Docket Number(s),History,Filenames
112,IA-2012-007,IA-2012-007,Oakland Boro,PBA Loc 164,Bergen,"Pecklers, M",02/06/2012,Conventional,Award Issued,,, ,IA-2012-007 Award Received on 02/06/2012,IA-2012-7.pdf
113,IA-2009-111,IA-2009-111,Hackettstown,PBA Loc 369,Warren,"Restaino, G",01/30/2012,Conventional,Award Issued,,, ,IA-2009-111 Award Received on 01/30/2012,IA-2009-111.pdf
114,IA-2010-118,IA-2010-118,Union Cty,FOP Lodge 103 (Superiors),Union,"Hundley, T",01/17/2012,Conventional,Award Issued,,, ,IA-2010-118 Award Received on 01/17/2012,IA-2010-118.pdf
115,IA-2010-090,IA-2010-090,Fairfield Tp,PBA Loc 81,Essex,"Glasson, R",12/22/2011,Conventional,Award Issued,,, ,IA-2010-090 Award Received on 12/22/2011,IA-2010-90.pdf
116,IA-2009-059,IA-2009-059,Hudson Cty Prosecutor's Office,PBA Loc 232,Hudson,"Mastriani, J",12/19/2011,Conventional,Appealed,,, ,"IA-2009-059 Award Received 03/13/2012; IA-2009-059 Award Remanded per Commission Decision, PERC 2012-37 issued 01/26/2012; IA-2009-059 Award Received on 12/19/2011",IA-2009-59 Supplemental 2012.03.13.pdf; PERC 2012-37.pdf; IA-2009-59.pdf
117,IA-2010-115,IA-2010-115,Englewood Cliffs Boro,PBA Loc 45,Bergen,"Licata, J",12/15/2011,Conventional,Appealed,,, ,IA-2010-115 Award Received on 12/15/2011,IA-2010-115.pdf
118,IA-2009-072,IA-2009-072 & IA-2009-071,Nutley Tp,PBA Loc 33 (SOA),Essex,"Glasson, R",11/28/2011,Conventional,Award Issued,,,"IA-2009-072, IA-2009-071",IA-2009-072 Award Received on 11/28/2011,IA-2009-72.pdf
119,IA-2009-071,IA-2009-071 & IA-2009-072,Nutley Tp,PBA Loc 33,Essex,"Glasson, R",11/28/2011,Conventional,Award Issued,,,"IA-2009-071, IA-2009-072",IA-2009-071 & IA-2009-072 Award Received on 11/28/2011; IA-2009-072 Award Received on 11/28/2011,IA-2009-71.pdf; IA-2009-72.pdf
120,IA-2011-021,IA-2011-021 & IA-2011-020,W Windsor Tp,PBA Loc 271 (SOA),Mercer,"Restaino, G",11/23/2011,Conventional,Award Issued,,,"IA-2011-021,IA-2011-020",IA-2011-021 Award Received on 11/23/2011,IA-2011-21.pdf
121,IA-2011-020,IA-2011-020 & IA-2011-021,W Windsor Tp,PBA Loc 271,Mercer,"Restaino, G",11/23/2011,Conventional,Award Issued,,,"IA-2011-020, IA-2011-021",IA-2011-020 & IA-2011-021 Award Received on 11/23/2011; IA-2011-021 Award Received on 11/23/2011,IA-2011-20.pdf; IA-2011-21.pdf
122,IA-2012-003,IA-2012-003,Springfield Tp,PBA Loc 76,Union,"Gifford, R",11/22/2011,Conventional,Award Issued,,, ,IA-2012-003 Award Received on 11/22/2011,IA-2012-3.pdf
123,IA-2010-051,IA-2010-051,Milltown Boro,PBA Loc 338,Middlesex,"Weiss, E",11/21/2011,Conventional,Appealed,,, ,"IA-2010-051 Award Received 03/01/2012; IA-2010-051 Award Vacated and Remanded per Commission Decision, PERC 2012-033 issued 12/28/2011; IA-2010-051 Award Received on 11/21/2011",IA-2010-51 (2012.03.01).pdf; PERC 2012-033.pdf; IA-2010-51.pdf
124, IA-2010-041, IA-2010-041 & IA-2010-039 & IA-2010-040,NJ/State (State Police),State Troopers SOA,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,,IA-2010-039;IA-2010-040,IA-2010-040 Award Received on 09/29/2011,IA-2010-40.pdf
125,IA-2010-040,IA-2010-040 & IA-2010-041 & IA-2010-039,NJ/State (State Police),State Troopers NCO Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,,IA-2010-039;IA-2010-041,IA-2010-040 Award Received on 09/29/2011; IA-2010-041 Award Received on 09/29/2011,IA-2010-40.pdf; IA-2010-41.pdf
126,IA-2010-039,IA-2010-039 & IA-2010-040 & IA-2010-041,NJ/State (State Police),State Troopers Frat Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,,IA-2010-040;IA-2010-041,IA-2010-039 & IA-2010-040 & IA-2010-041 Award Received on 09/29/2011; IA-2010-040 Award Received on 09/29/2011; IA-2010-041 Award Received on 09/29/2011,IA-2010-39.pdf; IA-2010-40.pdf; IA-2010-41.pdf
127,IA-2012-002,IA-2012-002,Ho-Ho-Kus Boro,PBA Loc 353,Bergen,"Mason, F",09/28/2011,Conventional,Award Issued,,, ,IA-2012-002 Award Received on 09/28/2011,IA-2012-2.pdf
128,IA-2010-026,IA-2010-026,Monmouth Cty,PBA Loc 240,Monmouth,"Restaino, G",09/27/2011,Conventional,Award Issued,,, ,IA-2010-026 Award Received on 09/27/2011,IA-2010-26.pdf
129,IA-2012-001,IA-2012-001,Pt Pleasant Beach Boro,PBA Loc 106,Ocean,"Mastriani, J",09/19/2011,Conventional,Award Issued,,, ,IA-2012-001 Award Received on 09/19/2011,IA-2012-1.pdf
130,IA-2008-029,IA-2008-029,Kearny,Deputy Police Chiefs Assn,Hudson,"Mastriani, J",09/09/2011,Conventional,Award Issued,,, ,IA-2008-029 Award Received on 09/09/2011,IA-2008-29.pdf
131,IA-2010-070,IA-2010-070 & IA-2010-069,Mercer Cty Prosecutor's Office,Mercer Cty Pros Sup Offrs Unit,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,,IA-2010-070,"IA-2010-069 Award Affirmed per Commission Decision, PERC 2012-015 issued 10/14/2011; IA-2010-070 Award Received on 09/08/2011; IA-2010-070 & IA-2010-069 Award Received on 09/08/2011",PERC 2012-015.pdf; IA-2010-69.pdf; IA-2010-70.pdf
132,IA-2010-069,IA-2010-069 & IA-2010-070,Mercer Cty Prosecutor's Office,PBA Loc 339,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,, ,"IA-2010-070 Award Affirmed per Commission Decision, PERC 2012-015 issued 10/14/2011; IA-2010-070  per Commission Decision,  issued 09/16/2011; IA-2010-070 Award Received on 09/08/2011",PERC 2012-015.pdf; IA-2010-69.pdf
133,IA-2011-057,IA-2011-057,Englewood City,PBA Loc 216; Englewood Police SOA,Bergen,"Mason, F",09/06/2011,Conventional,Award Issued,,, ,IA-2011-057 Award Received on 09/06/2011,IA-2011-57.pdf
134,IA-2011-058,IA-2011-058,Burlington Tp,FOP Lodge 84; Burlington Tp Police Assn (SOA),Burlington,"Mason, F",08/21/2011,Conventional,Award Issued,,, ,IA-2011-058 Award Received on 08/21/2011,IA-2011-58.pdf
135,IA-2009-065,IA-2009-065,Camden,IAFF Loc 788,Camden,"Pierson, J",08/16/2011,Conventional,Appealed,,, ,"IA-2009-065 Award Remanded per Commission Decision,  issued 05/13/2013; IA-2009-065 Award Received on 05/13/2013; IA-2009-065 Award Affirmed per Commission Decision, PERC 2012-018 issued 10/27/2011; IA-2009-065 Award Received on 08/16/2011",IA-2009-065.PDF; Remand IA-2009-065.pdf; PERC 2012-018.pdf; IA-2009-65.pdf
136,IA-2009-115,IA-2009-115,Burlington Cty,PBA Loc 249,Burlington,"Hundley, T",08/15/2011,Conventional,Award Issued,,, ,IA-2009-115 Award Received on 08/15/2011,IA-2009-115.pdf
137,IA-2011-053,IA-2011-053,Denville Tp,PBA Loc 142,Morris,"Pierson, J",07/31/2011,Conventional,Award Issued,,, ,IA-2011-053 Award Received on 07/31/2011,IA-2011-53.pdf
138,IA-2011-056,IA-2011-056,Mountain Lakes Boro,PBA Local 310,Morris,"Gifford, R",07/29/2011,Conventional,Award Issued,,, ,IA-2011-056 Award Received on 07/29/2011,IA-2011-56.pdf
139,IA-2011-052,IA-2011-052,Hudson Cty Sheriff,FOP Lodge 127 SOA,Hudson,"Mastriani, J",07/25/2011,Conventional,Award Issued,,, ,IA-2011-052 Award Received on 07/25/2011,IA-2011-52.pdf
140,IA-2009-073,IA-2009-073,Monmouth Cty Sheriff,PBA Loc 314,Monmouth,"Hartigan, T",06/15/2011,Conventional,Award Issued,,, ,IA-2009-073 Award Received on 06/15/2011,IA-2009-73.pdf
141,IA-2010-004,IA-2010-004 & IA-2010-003,Camden Cty Sheriff's Office,PBA Loc 277,Camden,"Zausner, B",06/13/2011,Conventional,Award Issued,,, ,IA-2010-003 Award Received on 06/13/2011; IA-2010-004 Award Received on 06/13/2011,IA-2010-3.pdf; IA-2010-4.pdf
142,IA-2010-003,IA-2010-003 & IA-2010-004,Camden Cty Sheriff's Office,PBA Loc 277 (Superiors),Camden,"Zausner, B",06/13/2011,Conventional,Award Issued,,, ,IA-2010-003 Award Received on 06/13/2011; IA-2010-004 Award Received on 06/13/2011,IA-2010-3.pdf; IA-2010-4.pdf
143,IA-2011-050,IA-2011-050,N Arlington Boro,PBA Loc 95,Bergen,"Mason, F",06/13/2011,Conventional,Appealed,,, ,"IA-2011-050 Award Affirmed per Commission Decision, PERC 2012-16 issued 10/14/2011; IA-2011-050 Award Received 09/06/2011; IA-2011-050 Award Vacated and Remanded per Commission Decision, PERC 2012-001 issued 07/19/2011; IA-2011-050 Award Received on 06/13/2011",PERC 2012-16.pdf; IA-2011-050 2011.09.06.pdf; PERC 2012-1.pdf; IA-2011-50.pdf
144,IA-2011-049,IA-2011-049,Waldwick Boro,PBA Loc 217,Bergen,"Mason, F",06/06/2011,Conventional,Award Issued,,, ,IA-2011-049 Award Received on 06/06/2011,IA-2011-49.pdf
145,IA-2008-046,IA-2008-046 & IA-2008-031,Teaneck Tp,Teaneck SOA,Bergen,"Mastriani, J",06/06/2011,Conventional,Award Issued,,, ,IA-2008-031 Award Received on 06/06/2011; IA-2008-046 Award Received on 06/06/2011,IA-2008-31.pdf; IA-2008-46.pdf
146,IA-2008-031,IA-2008-031 & IA-2008-046,Teaneck Tp,PBA Loc 215,Bergen,"Mastriani, J",06/06/2011,Conventional,Award Issued,,, ,IA-2008-031 Award Received on 06/06/2011; IA-2008-046 Award Received on 06/06/2011,IA-2008-31.pdf; IA-2008-46.pdf
147,IA-2011-048,IA-2011-048,Spotswood Boro,PBA Loc 225,Middlesex,"Mason, F",05/23/2011,Conventional,Appealed,,, ,"IA-2011-048 Award Affirmed per Commission Decision, PERC 2011-085 issued 06/30/2011; IA-2011-048 Award Received on 05/23/2011",PERC 2011-085.pdf; IA-2011-48.pdf
148,IA-2010-053,IA-2010-053,Hasbrouck Hgts Boro,PBA Loc 102,Bergen,"Henderson, L",05/16/2011,Conventional,Award Issued,,, ,IA-2010-053 Award Received on 05/16/2011,IA-2010-53.pdf
149,IA-2011-045,IA-2011-045,Bloomingdale Boro,PBA Loc 354,Passaic,"Mastriani, J",04/12/2011,Conventional,Appealed,,, ,"IA-2011-045 Award Affirmed per Commission Decision, PERC 2011-77 issued 05/13/2011; IA-2011-045 Award Received on 04/12/2011",PERC 2011-77.pdf; IA-2011-45.pdf
150,IA-2010-078,IA-2010-078,S Hackensack Tp,PBA Loc 102,Bergen,"Hundley, T",04/07/2011,Conventional,Award Issued,,, ,IA-2010-078 Award Received on 04/07/2011,IA-2010-78.pdf
151,IA-2009-016,IA-2009-016 & IA-2009-015,Paterson,PBA Loc 1 SOA,Bergen,"Mastriani, J",02/17/2011,Conventional,Award Issued,,,IA-2009-015,IA-2009-015 Award Received on 02/17/2011; IA-2009-016 Award Received on 02/17/2011,IA-2009-15.pdf; IA-2009-16.pdf
152,IA-2009-015,IA-2009-015 & IA-2009-016,Paterson,PBA Loc 1,Bergen,"Mastriani, J",02/17/2011,Conventional,Award Issued,,,IA-2009-016,IA-2009-015 Award Received on 02/17/2011; IA-2009-016 Award Received on 02/17/2011,IA-2009-15.pdf; IA-2009-16.pdf
153,IA-2009-103,IA-2009-103,Hunterdon County Sheriff's Office,FOP Lodge 94,Hunterdon,"Glasson, R",02/02/2011,Conventional,Appealed,,, ,"IA-2009-103 Award Affirmed per Commission Decision, PERC 2011-75 issued 05/05/2011; IA-2009-103 Award Affirmed per Commission Decision, PERC 2011-75 issued 05/05/2011; IA-2009-103 Award Received on 02/02/2011",PERC 2011 75.pdf; PERC 2011-75.pdf; IA-2009-103.pdf
154,IA-2008-045,IA-2008-045 & IA-2008-044,S Orange Village Tp,PBA Loc 12A (SOA),Essex,"Mastriani, J",01/21/2011,Conventional,Award Issued,,, ,IA-2008-044 Award Received on 01/21/2011; IA-2008-045 Award Received on 01/21/2011,IA 2008-44.pdf; IA-2008-45.pdf
155,IA-2008-044,IA-2008-044 & IA-2008-045,S Orange Village Tp,PBA Loc 12,Essex,"Mastriani, J",01/21/2011,Conventional,Award Issued,,, ,IA-2008-044 Award Received on 01/21/2011; IA-2008-045 Award Received on 01/21/2011,IA 2008-44.pdf; IA-2008-45.pdf
156,IA-2009-056,IA-2009-056,Boonton,PBA Loc 212,Morris,"Glasson, R",12/28/2010,Conventional,Award Issued,,, ,IA-2009-056 Award Received on 12/28/2010,IA-2009-56.pdf
157,IA-2008-074,IA-2008-074,Millville,PBA Loc 213,Cumberland,"Mastriani, J",12/21/2010,Conventional,Award Issued,,, ,IA-2008-074 Award Received on 12/21/2010,IA-2008-74.pdf
158,IA-2009-070,IA-2009-070,Jersey City,Jersey City PSOA,Hudson,"Weisblatt, J",11/16/2010,Conventional,Award Issued,,, ,IA-2009-070 Award Received on 11/16/2010,IA-2009-70.pdf
159,IA-2009-067,IA-2009-067,Hunterdon Cty,FOP Lodge 29,Hunterdon,"Glasson, R",11/01/2010,Conventional,Appealed,,, ,"IA-2009-067 Award Affirmed per Commission Decision, PERC 2011-80 issued 05/26/2011; IA-2009-067 Award Received on 11/01/2010",PERC 2011-80.pdf; IA-2009-67.pdf
160,IA-2008-092,IA-2008-092,Keyport Boro,PBA Loc 223,Monmouth,"Mastriani, J",10/12/2010,Conventional,Award Issued,,, ,IA-2008-092 Award Received on 10/12/2010,IA-2008-92.pdf
161,IA-2008-085,IA-2008-085,Belmar Boro,PBA Loc 50,Monmouth,"Restaino, G",09/13/2010,Conventional,Award Issued,,, ,IA-2008-085 Award Received on 09/13/2010,IA-2008-85.pdf
162,IA-2008-039,IA-2008-039 & IA-2008-038,Ocean Tp,PBA Loc 57,Monmouth,"Mastriani, J",08/31/2010,Conventional,Award Issued,,, ,IA-2008-038 Award Received on 08/31/2010; IA-2008-039 Award Received on 08/31/2010,IA-2008-38.pdf; IA-2008-39.pdf
163,IA-2008-038,IA-2008-038 & IA-2008-039,Ocean Tp,Ocean Tp Police SOA,Monmouth,"Mastriani, J",08/31/2010,Conventional,Award Issued,,, ,IA-2008-038 Award Received on 08/31/2010; IA-2008-039 Award Received on 08/31/2010,IA-2008-38.pdf; IA-2008-39.pdf
164,IA-2008-098,IA-2008-098,Essex Cty Sheriff,PBA Loc 183,Essex,"Weisblatt, J",08/03/2010,,Appealed,,, ,"IA-2008-098 Award Received 07/14/2011; IA-2008-098 Award Remanded per Commission Decision, PERC 2011-92 issued 06/30/2011; IA-2008-098 Award Received on 08/03/2010",IA-2008-98 Supplemental 2011.07.14.pdf; PERC 2011-92.pdf; IA-2008-98.pdf
165,IA-2007-092,IA-2007-092,New Brunswick,FMBA Loc 17,Middlesex,"Mastriani, J",08/02/2010,Conventional,Award Issued,,, ,IA-2007-092 Award Received on 08/02/2010,IA-2007-92.pdf
166,IA-2008-064,IA-2008-064,Rumson Boro,PBA Loc 345,Monmouth,"Mastriani, J",07/27/2010,Conventional,Appealed,,, ,IA-2008-064 Award Received on 07/27/2010,IA-2008-64.pdf
167,IA-2007-094,IA-2007-094 & IA-2007-093,Belleville Tp,FMBA Loc 29,Essex,"Mastriani, J",05/25/2010,Conventional,Award Issued,,, ,IA-2007-093 Award Received on 05/25/2010; IA-2007-094 Award Received on 05/25/2010,IA-2007-93.pdf; IA-2007-94.pdf
168,IA-2007-093,IA-2007-093 & IA-2007-094,Belleville Tp,FMBA Loc 229,Essex,"Mastriani, J",05/25/2010,Conventional,Award Issued,,, ,IA-2007-093 Award Received on 05/25/2010; IA-2007-094 Award Received on 05/25/2010,IA-2007-93.pdf; IA-2007-94.pdf
169,IA-2008-021,IA-2008-021,Kearny,FMBA Loc 18,Hudson,"Mastriani, J",05/24/2010,Conventional,Appealed,,, ,"IA-2008-021 Award Affirmed per Commission Decision, PERC 2011-037 issued 10/28/2010; IA-2008-021 Award Received on 05/24/2010",PERC 2011 37.pdf; IA-2008-21.pdf
170,IA-2007-073,IA-2007-073,Washington Tp,PBA Loc 206,Bergen,"Mastriani, J",05/24/2010,Conventional,Award Issued,,, ,IA-2007-073 Appeal Withdrawn 06/09/2010; IA-2007-073 Award Received on 05/24/2010,IA-2007-73.pdf
171,IA-2008-035,IA-2008-035,Rutherford Boro,PBA Loc 300,Bergen,"Mastriani, J",05/20/2010,Conventional,Award Issued,,, ,IA-2008-035 Award Received on 05/20/2010,IA-2008-35.pdf
172,IA-2008-047,IA-2008-047 & IA-2008-069,Asbury Park,PBA Loc 6 SOA,Ocean,"Mastriani, J",05/17/2010,Conventional,Award Issued,,, ,"IA-2008-047 Award Affirmed per Commission Decision, PERC 2011-17 issued 08/12/2010; IA-2008-069 Award Received on 05/17/2010; IA-2008-047 Award Received on 05/17/2010",PERC 2011-17.pdf; IA-2008-69.pdf; IA-2008-47.pdf
173,IA-2008-069,IA-2008-069 & IA-2008-047,Asbury Park,PBA Loc 6,Ocean,"Mastriani, J",05/17/2010,Conventional,Appealed,,, ,"IA-2008-069 Award Affirmed per Commission Decision, PERC 2011-17 issued 08/12/2010; IA-2008-069 Award Received on 05/17/2010; IA-2008-047 Award Received on 05/17/2010",PERC 2011-17.pdf; IA-2008-69.pdf; IA-2008-47.pdf
174,IA-2007-057,IA-2007-057,Atlantic Cty,FOP Lodge 34,Atlantic,"Restaino, G",04/06/2010,Conventional,Appealed,,, ,"IA-2007-057 Award Affirmed with Modification per Commission Decision, PERC 2011-76 issued 05/13/2011; IA-2007-057 Award Received 03/22/2011; IA-2007-057 Award Vacated and Remanded per Commission Decision, PERC 2011-56 issued 02/04/2011; IA-2007-057 Award Received 09/01/2010; IA-2007-057 Award Remanded per Commission Decision, perc 2011-8 issued 08/12/2010; IA-2007-057 Award Received on 04/06/2010",PERC 2011-76.pdf; IA-2007-57 Supplemental 2011.03.18.pdf; PERC 2011-56.pdf; IA-2007-57 Supplemental 2010.09.01.pdf; PERC 2011-8.pdf; IA-2007-57.pdf
175,IA-2008-070,IA-2008-070,New Milford Boro,PBA Loc 83,Bergen,"Tener, J",03/15/2010,Conventional,Award Issued,,, ,IA-2008-070 Award Received on 03/15/2010,IA-2008-70.pdf
176,IA-2008-060,IA-2008-060,Paramus Boro,PBA Loc 186,Bergen,"Weiss, E",03/15/2010,Conventional,Appealed,,, ,"IA-2008-060 Award Received on 03/15/2010; IA-2008-060 Award Vacated and Remanded per Commission Decision, PERC 2010-35 issued 11/24/2009; IA-2008-060 Award Received on 05/19/2009",IA-2008-60 2010.03.15.pdf; PERC 2010-35.pdf; IA-2008-60.pdf
177,IA-2009-049,IA-2009-049,Lakewood Tp,PBA Loc 71,Ocean,"Glasson, R",01/08/2010,Conventional,Award Issued,,, ,IA-2009-049 Award Received on 01/08/2010,IA-2009-49.pdf
178,IA-2007-016,IA-2007-016,Trenton,FMBA Loc 11,Mercer,"Mastriani, J",12/30/2009,Conventional,Appealed,,, ,"IA-2007-016 Award Affirmed with Modification per Commission Decision, PERC 2-10-073 issued 04/29/2010; IA-2007-016 Award Received on 12/30/2009",PERC 2010-073.pdf; IA-2007-16.pdf
179,IA-2008-017,IA-2008-017,NJ/State,NJ Law Enforcement Supv Assn,,"Weisblatt, J",12/29/2009,Conventional,Award Issued,,, ,IA-2008-017 Award Received on 12/29/2009,IA-2008-17.pdf
180,IA-2008-078,IA-2008-078,Harrison,FOP Lodge 116,Hudson,"Weisblatt, J",12/09/2009,Conventional,Award Issued,,, ,IA-2008-078 Award Received on 12/09/2009,IA-2008-78.pdf
181,IA-2008-059,IA-2008-059 & IA-2008-058,Freehold Tp,PBA Loc 209 (SOA),Monmouth,"Hundley, T",11/19/2009,Conventional,Award Issued,,, ,IA-2008-058 Award Received on 11/19/2009; IA-2008-059 Award Received on 11/19/2009,IA-2008-58.pdf; IA-2008-59.pdf
182,IA-2008-058,IA-2008-058 & IA-2008-059,Freehold Tp,PBA Loc 209,Monmouth,"Hundley, T",11/19/2009,Conventional,Award Issued,,, ,IA-2008-058 Award Received on 11/19/2009; IA-2008-059 Award Received on 11/19/2009,IA-2008-58.pdf; IA-2008-59.pdf
183,IA-2009-011,IA-2009-011,Bergenfield Boro,PBA Loc 309,Bergen,"Pierson, J",11/17/2009,Conventional,Appealed,,, ,"IA-2009-011 Award Affirmed per Commission Decision, PERC 2010-074 issued 04/29/2010; IA-2009-011 Award Received on 11/17/2009",PERC 2010-074.pdf; IA-2009-11.pdf
184,IA-2004-054,IA-2004-054,Middletown Tp,PBA Loc 124,Monmouth,"Light, R",10/19/2009,Conventional,Award Issued,,, ,IA-2004-054 Award Received on 10/19/2009,IA-2004-54.pdf
185,IA-2007-084,IA-2007-084,Morris Cty,PBA Loc 298,Morris,"Mastriani, J",10/05/2009,Conventional,Award Issued,,, ,IA-2007-084 Award Received on 10/05/2009,IA-2007-84.pdf
186,IA-2007-113,IA-2007-113,Harrison,FMBA Loc 22,Hudson,"Mastriani, J",09/22/2009,Conventional,Award Issued,,, ,IA-2007-113 Award Received on 09/22/2009,IA-2007-113.pdf
187,IA-2007-090,IA-2007-090,Harrison,PBA Loc 22,Hudson,"Mastriani, J",09/22/2009,Conventional,Award Issued,,, ,IA-2007-090 Award Received on 09/22/2009,IA-2007-90.pdf
188,IA-2007-115,IA-2007-115,Passaic Cty Sheriff's Office,PBA Loc 197; PBA Loc 197 (Superiors); PBA Loc 286; PBA Loc 286 (SOA),Passaic,"Light, R",08/31/2009,Conventional,Appealed,,, ,"IA-2007-115 Award Received 06/20/2011; IA-2007-115 Award Vacated - Remanded and new Arbitrator Directed per Commission Decision, PERC-2011-036 issued 10/28/2010; IA-2007-115 Award Received 04/27/2010; IA-2007-115 Award Vacated and Remanded per Commission Decision, PERC 2010-42 issued 12/17/2009; IA-2007-115 Award Received on 08/31/2009",IA-2007-115 3rd Award.pdf; PERC 2011 36.pdf; IA-2007-115 2nd Award.pdf; PERC 2010-42.pdf; IA-2007-115.pdf
189,IA-2007-081,IA-2007-081,Ramsey Boro,PBA Loc 155,Bergen,"Mastriani, J",08/03/2009,Conventional,"Award Affirmed per Commission Decision, PERC 2010-26 issued 10/29/2009",,, ,"IA-2007-081 Award Affirmed per Commission Decision, PERC 2010-26 issued 10/29/2009; IA-2007-081 Award Received on 08/03/2009",PERC 2010-26.pdf; IA-2007-81.pdf
190,IA-2006-071,IA-2006-071,Trenton,Trenton Police SOA,Mercer,"Tener, J",07/28/2009,Conventional,Award Issued,,, ,IA-2006-071 Award Received on 07/28/2009,IA-2006-71.pdf
191,IA-2008-037,IA-2008-037 & IA-2008-036,N Plainfield Boro,PBA Local 85 (Superiors),Somerset,"Glasson, R",07/27/2009,Conventional,Award Issued,,, ,IA-2008-037 Appeal Withdrawn 08/28/2009; IA-2008-036 Award Received on 07/27/2009; IA-2008-037 Award Received on 07/27/2009,IA-2008-36.pdf; IA-2008-37.pdf
192,IA-2008-036,IA-2008-036 & IA-2008-037,N Plainfield Boro,PBA Local 85,Somerset,"Glasson, R",07/27/2009,Conventional,Award Issued,,, ,IA-2008-036 Appeal Withdrawn 08/28/2009; IA-2008-036 Award Received on 07/27/2009; IA-2008-037 Award Received on 07/27/2009,IA-2008-36.pdf; IA-2008-37.pdf
193,IA-2008-040,IA-2008-040,Paterson,Paterson Firefighters Assn,Passaic,"Scheinman, M",07/23/2009,Conventional,Award Issued,,, ,IA-2008-040 Award Received on 07/23/2009,IA-2008-40.pdf
194,IA-2007-052,IA-2007-052,Cliffside Park Boro,PBA Loc 96,Bergen,"Mastriani, J",07/15/2009,Conventional,Award Issued,,, ,IA-2007-052 Award Received on 07/15/2009,IA-2007-52.pdf
195,IA-2009-007,IA-2009-007 & IA-2008-057 & IA-2009-006,Paterson,Paterson Deputy Fire Chiefs Assn,Passaic,"Pierson, J",07/08/2009,Conventional,Award Issued,,, ,IA-2009-007 & IA-2008-057 & IA-2009-006 Award Received on 07/08/2009,IA-2009-7.pdf
196,IA-2009-006,IA-2009-006 & IA-2009-007 & IA-2008-057,Paterson,Paterson Battalion Chiefs Assn,Passaic,"Pierson, J",07/08/2009,Conventional,Award Issued,,, ,IA-2009-006 & IA-2009-007 & IA-2008-057 Award Received on 07/08/2009,IA-2009-6.pdf
197,IA-2008-057,IA-2008-057 & IA-2009-006 & IA-2009-007,Paterson,Paterson Fire Offrs Assn,Passaic,"Pierson, J",07/08/2009,Conventional,Award Issued,,, ,IA-2008-057 & IA-2009-006 & IA-2009-007 Award Received on 07/08/2009,IA-2008-57.pdf
198,IA-2007-001,IA-2007-001,West Orange Tp,FMBA Loc 28,Essex,"Mastriani, J",06/25/2009,Conventional,Award Issued,,, ,IA-2007-001 Award Received on 06/25/2009,IA-2007-1.pdf
199,IA-2008-002,IA-2008-002,Bloomfield Tp,FMBA Loc 19,Essex,"Mastriani, J",06/03/2009,Conventional,Award Issued,,, ,IA-2008-002 Award Received on 06/03/2009,IA-2008-2.pdf
200,IA-2008-060,IA-2008-060,Paramus Boro,PBA Loc 186,Bergen,"Weiss, E",05/19/2009,Conventional,Appealed,,, ,"IA-2008-060 Award Received on 03/15/2010; IA-2008-060 Award Vacated and Remanded per Commission Decision, PERC 2010-35 issued 11/24/2009; IA-2008-060 Award Received on 05/19/2009",IA-2008-60 2010.03.15.pdf; PERC 2010-35.pdf; IA-2008-60.pdf
201,IA-2008-014,IA-2008-014,NJ/State (Corrections),PBA Loc 105,,"Mastriani, J",05/05/2009,Conventional,Award Issued,,, ,IA-2008-014 Award Received on 05/05/2009,IA-2008-14.pdf
202,IA-2006-057,IA-2006-057,Irvington Tp,Irvington Police SOA,Essex,"Glasson, R",01/27/2009,Conventional,Award Issued,,, ,IA-2006-057 Award Received on 01/27/2009,IA-2006-57.pdf
203,IA-2007-060,IA-2007-060,Trenton,PBA Loc 11,Mercer,"Pierson, J",01/09/2009,Conventional,Award Issued,,, ,IA-2007-060 Award Received on 01/09/2009,IA-2007-60.pdf
204,IA-2008-042,IA-2008-042,Closter Boro,PBA Loc 233,Bergen,"Mastriani, J",01/07/2009,Conventional,Award Issued,,, ,IA-2008-042 Award Received on 01/07/2009,IA-2008-42.pdf
205,IA-2007-080,IA-2007-080 & IA-2007-069,Hopewell Tp,PBA Loc 342 (SOA),Mercer,"Mastriani, J",12/30/2008,Conventional,Award Issued,,,IA-2007-069,IA-2007-069 Award Received on 12/30/2008; IA-2007-080 Award Received on 12/30/2008,IA-2007-69.pdf; IA-2007-80.pdf
206,IA-2007-069,IA-2007-069 & IA-2007-080,Hopewell Tp,PBA Loc 342,Mercer,"Mastriani, J",12/30/2008,Conventional,Award Issued,,,IA-2007-080,IA-2007-069 Award Received on 12/30/2008; IA-2007-080 Award Received on 12/30/2008,IA-2007-69.pdf; IA-2007-80.pdf
